Points_0,Points_1,Points_2,h
1.800000000e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.801499939e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.803000031e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.804499969e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.806000061e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.807500000e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.808999939e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.810500031e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.811999969e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.813500061e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.815000000e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.816499939e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.818000031e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.819499969e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.821000061e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.822500000e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.823999939e+02,2.400000000e+02,0.000000000e+00,1.048796549e-04
1.825500031e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.826999969e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.828500061e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.830000000e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.831499939e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.833000031e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.834499969e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.836000061e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.837500000e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.838999939e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.840500031e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.841999969e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.843500061e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.845000000e+02,2.400000000e+02,0.000000000e+00,1.603782451e-04
1.846499939e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.848000031e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.849499969e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.851000061e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.852500000e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.853999939e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.855500031e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
1.856999969e+02,2.400000000e+02,0.000000000e+00,2.195904280e-04
